Термин,Значение
Программа CRM,"Программа по изучению системы управления возможностями экипажа  в ситуациях, в которых человеческая ошибка может привести к катастрофе. Программа CRM акцентируется не на технических знаниях, а на взаимоотношении членов экипажа в одной кабине, включая лидерство и принятие решений."
тренажер категории D,"Тренажер вертолета  с системой подвижности, оборудованный современной системой визуализации, обеспечивающей отображения закабинного пространства, в том числе с возможностью имитации группового полета. Помимо этого, тренажеры оснащены комплектом бортового радиоэлектронного оборудования в составе: TDS-56, TDS-84, TSS, TTA-12H и AD-32."
КВС-инструктор,"Командир воздушного судна, имеющий квалификационную отметку ""пилот-инструктор"" в свидетельстве пилота или специальное разрешение уполномоченного органа."
ПВП (д) ,"Правила визуальных полетов (днем) при соблюдении следующих метеоусловий:
- высота нижней границы облаков -150 м и более; 
- видимость по горизонтали - 2000 м и более; 
- скорость ветра не более 25 м/с."
ПВП (н),"Правила визуальных полетов (ночью) при соблюдении следующих метеоусловий:
- высота нижней границы облаков -450 м и более; 
- видимость по горизонтали - 4000 м и более; 
- скорость ветра не более 25 м/с."
ППП,Правила полета по приборам
FATO,Зона над которой пилот завершает заключительную фазу захода на зависание или посадку и с которой пилот начинает взлет.
TLOF,Зона на которую приземляется и / или взлетает вертолет. Выполняется в виде круга с обозначением Н по центру. 
АНППП,"Аэронавигационный паспорт посадочной площадки, включающий в себя действующую аэронавигационную информацию по вертолетной площадке с указанием ее характеристик, состава оборудования, данные для осуществления полетов на вертолетной площадке"
закрытый сектор взлета и посадки вертолета,"Участок воздушного пространства в районе посадочной площадки, запрещенный к использованию для взлета и посадки вертолета по причине наличия препятствий. Не должен превышать 150 °."
ТЗА,Топливозаправщик аэродромный
HAZOP,"анализ опасности и работоспособности (HAZOP) (от англ. HAZard and OPerability, Опасность и Работоспособность): качественный метод анализа опасности и работоспособности производственных объектов с помощью моделирования отклонений технологических параметров от проектных значений."
Отчет по результатам HAZOP,Формализованный в виде отчета результат риск-сессии HAZOP
PHSER,"анализ проекта в области производственной безопасности (PHSER, англ.: Project   Health, Safety and Environment Review): обзор проекта/объекта на предмет контроля рисков ПБ и его соответствия требованиям ПБ"
Отчет по результатам PHSER,Формализованный в виде отчета результат риск-сессии PHSER
